Reviewer Name,Review Title,Place of Review,Up Votes,Down Votes,Month,Review text,Ratings,Cleaned Review Text,Sentiment
Kamal Suresh,Nice product,"Certified Buyer, Chirakkal",889.0,64.0,Feb 2021,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4,nice product good quality but price is now rising which is a bad sign 800850 was an affordable price especially when we play everyday so kindly help us out in terms of the price thank youread more,Positive
Flipkart Customer,Don't waste your money,"Certified Buyer, Hyderabad",109.0,6.0,Feb 2021,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1,they didnt supplied yonex mavis 350 outside cover was yonex ad inside was a cheapest  sad to hear thisread more,Neutral
A. S. Raja Srinivasan ,Did not meet expectations,"Certified Buyer, Dharmapuri",42.0,3.0,Apr 2021,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1,worst product damaged shuttlecocks packed in new box its not a original yonex product dont buyflipkart platform is chosen to fraud the buyersread more,Negative
Baji Sankar,Mind-blowing purchase,"Certified Buyer, Hyderabad",173.0,45.0,Oct 2018,Good quality product. Delivered on time.READ MORE,5,good quality product delivered on timeread more,Positive
Flipkart Customer,Must buy!,"Certified Buyer, Doom Dooma",403.0,121.0,Jan 2020,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5,best purchase it is a good quality and is more durable than any average shuttle and shipping was goodread more,Positive
Flipkart Customer,Classy product,"Certified Buyer, Panjim",59.0,13.0,Oct 2018,Good quality original shuttles.READ MORE,5,good quality original shuttlesread more,Positive
 Jafar  Qureshi,Great product,"Certified Buyer, Sheopur",14.0,1.0,Aug 2018,AwesomeREAD MORE,5,awesomeread more,Positive
Bheemesh,Just wow!,"Certified Buyer, Kurnool",50.0,12.0,May 2018,nice original productsREAD MORE,5,nice original productsread more,Positive
ABBCD Zggg,Just wow!,"Certified Buyer, Channarayapatna",57.0,16.0,Jun 2020,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5,this green cap shuttlecock is really awesome quality is best and good packingthis green cap shuttlecock is played at warm conditionsworth for money simply loved itread more,Positive
Sadashivu Shetty,Terrific purchase,"Certified Buyer, Mangalore",146.0,52.0,Sep 2016,Best in class....READ MORE,5,best in classread more,Positive
Abhishek m,Worth every penny,"Certified Buyer, Chengannur",142.0,53.0,Jun 2018,it's genuine and price is less than our near by shopREAD MORE,5,its genuine and price is less than our near by shopread more,Positive
Hashim A,Did not meet expectations,"Certified Buyer, Panoor",22.0,5.0,Mar 2021,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1,this is the second time i am getting an opened bundle of yonex mavis 350 shuttle i really believe this is not an original product or someone may have switched the shuttle inside the bundle dont buy from flipkart i am gonna return this productread more,Positive
Karan Dattani,Worth every penny,"Certified Buyer, Mumbai",23.0,6.0,Mar 2019,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5,really satisfied with the quality and the prompt deliveryhappy customer of flipkart read more,Positive
Divya Mohan,Brilliant,"Certified Buyer, Darbhanga",71.0,29.0,Oct 2016,NycREAD MORE,5,nycread more,Positive
Harish R,I think it is duplicate,"Certified Buyer, Bangalore",81.0,35.0,Feb 2018,I usually buy them the same model but this did not last even for a dayREAD MORE,1,i usually buy them the same model but this did not last even for a dayread more,Positive
D.SELVARAJ,Slightly disappointed,"Certified Buyer, Tirupur",5.0,0.0,May 2021,"Poor quality, not originalREAD MORE",2,poor quality not originalread more,Positive
Priyadarsshan D,Super!,"Certified Buyer, Chennai",12.0,1.0,Aug 2020,Delivered on expected timeREAD MORE,5,delivered on expected timeread more,Positive
AMITPRATAP SINGH,Awesome,"Certified Buyer, Mangaluru",14.0,3.0,Feb 2019,nice and original productREAD MORE,5,nice and original productread more,Positive
ramesh arjunan,Awesome,"Certified Buyer, Salem",30.0,10.0,Jun 2018,Very nice and Good price compare then local sports.READ MORE,5,very nice and good price compare then local sportsread more,Positive
Rohit Pillai,Highly recommended,"Certified Buyer, Kalyan",11.0,1.0,Mar 2021,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5,its perfect go for it yonex will never disappoint you pros  1 the feather might look little cheap at first glance but it aint like that the quality it best2 the bottom cork is so amazing we play in an open court and it perfectly glides around balanced base 3 the durability seems to go fine no issues on that we intermediate players have been using one shuttle since 2 days now cons  1 slightly on a higher range 2 if you use 30lbs  bg 65 or 98 racquet then its pread more,Positive
Sanju Mca,Nice product,"Certified Buyer, Viskhapatnam",5.0,0.0,May 2020,superbREAD MORE,4,superbread more,Positive
Rohit Garg,Unsatisfactory,"Certified Buyer, Bangalore",4.0,0.0,Jul 2018,"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1,looked like defective once without balance had to throw 4 out of 6read more,Positive
Shivendra Singh,Nice product,"Certified Buyer, Ghaziabad",13.0,3.0,May 2018,Genuine product at very reasonable price....got for Rs 630/-READ MORE,4,genuine product at very reasonable pricegot for rs 630read more,Positive
Sathish Kumar Kannan,Fabulous!,"Certified Buyer, Bengaluru",19.0,8.0,Oct 2018,Good sealed Original Yonex ShuttlesREAD MORE,5,good sealed original yonex shuttlesread more,Positive
N R S Customer,Not good,"Certified Buyer, Ambala",3.0,0.0,Apr 2021,They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2,they are not as expectedthe head  portion break very soondefective piecesread more,Positive
Sidhartha Biswal,Good choice,"Certified Buyer, Visakhapatnam",4.0,0.0,Feb 2021,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4,i am giving 4 star only for its price hike please anyone suggest any other shuttle cork for same performance with lower priceread more,Positive
Flipkart Customer,Great product,"Certified Buyer, Attingal",6.0,0.0,Nov 2020,quality is pooverREAD MORE,5,quality is pooverread more,Positive
D Maruthi Vidya sagar,Best in the market!,"Certified Buyer, Mahbubnagar",14.0,5.0,Jun 2018,good productREAD MORE,5,good productread more,Positive
Abubakkarsiddiq  Siddiq,Super!,"Certified Buyer, Chitradurga District",9.0,3.0,Jul 2018,Good product.....READ MORE,5,good productread more,Positive
arovi chawngthu,Very Good,"Certified Buyer, Aizawl",216.0,219.0,Mar 2020,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4,received in good conditionam really satisfied with the productbut i am not satisfied with those delivery boys who always does not have coins in returnit means that we are paying extra money for our item they also know this opportunity so they never have coins to returni really dont like this kind of selfishnessread more,Positive
prakashdass prakashdass,Not good,"Certified Buyer, Chengalpattu",2.0,0.0,Jan 2022,shuttle is over rotatingREAD MORE,2,shuttle is over rotatingread more,Positive
ABHISHEK RAWAL,Absolute rubbish!,"Certified Buyer, Mancherial",3.0,0.0,Mar 2021,Very bad quality.READ MORE,1,very bad qualityread more,Negative
Prabhu Nandha ,Worst experience ever!,"Certified Buyer, Mecheri",2.0,0.0,Feb 2021,Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1,worst quality after 2 or 3 shots the ball started to rotateread more,Negative
Flipkart Customer,Decent product,"Certified Buyer, Charingia Gaon",3.0,0.0,Jan 2021,Not expecting this kind of products from flipkart.READ MORE,3,not expecting this kind of products from flipkartread more,Positive
ARUNKUMAR REGIDI,Awesome,"Certified Buyer, Rajam",3.0,0.0,May 2017,No one better shuttles in the market.good quality and reasonable price.READ MORE,5,no one better shuttles in the marketgood quality and reasonable priceread more,Positive
Madhu Mohan,Did not meet expectations,"Certified Buyer, Medak",4.0,1.0,Mar 2019,low qualityREAD MORE,1,low qualityread more,Positive
